"name","state","year_group"
"ADAMSBURG","AL",""
"ADAMSBURG","SC","1900"
NA,NA,""
"ADAMSBURGH","AR",""
"ADAMSDALE","MA","1900"
"ADAMSDALE","PA","1900"
"ADAMSFORD","PA",""
"ADAMSON","GA","1900"
NA,NA,""
NA,NA,""
NA,NA,""
"ADAMSVILLE","AR","1900"
"ADAMSVILLE","FL",""
"ADAMSVILLE","GA",""
"ADAMSVILLE","MA","1850"
"ADAMSVILLE","MS","1900"
"ADAMSVILLE","MS",""
"ADAMSVILLE","NJ",""
"ADAMSVILLE","NY","1850"
"ADAMSVILLE","PA",""
NA,NA,""
NA,NA,""
"ADAMSVILLE","SC","1850"
"ADASBURG","GA","1900"
"ADATON","MS","1900"
"ADBROOKS","NY",""
"ADCOCK","TN",""
"ADD","FL",""
"ADDAM'S TAVERN","PA",""
"ADDERTON","GA",""
"ADDIE","TN","1900"
"ADDIE","MS",""
"ADDIE","MS",""
"ADDIE","SC",""
"ADDINE","MS","1900"
"ADDINGHAM","PA","1900"
NA,NA,""
"ADDISON","AL",""
NA,NA,""
"ADDISON","CT","1900"
NA,NA,""
"ADDISON","MS","1900"
NA,NA,""
NA,NA,""
"ADDISON","VT","1800"
"ADDISON HILL","NY","1900"
"ADDISON JUNCTION","NY","1900"
"ADDISON POINT","ME","1850"
"ADDISONVILLE","LA",""
NA,NA,""
"ADELAIDE","MO",""
"ADELAIDE","AR",""
"ADELAIDE","GA","1900"
"ADELAIDE","PA","1900"
"ADELBERT","MO",""
"ADELE","PA","1900"
"ADELIA","AL",""
"ADELIA","PA",""
"ADELINE","LA","1900"
"ADELL","MO","1900"
"ADELLE","MS",""
NA,NA,""
"ADEMA","LA",""
"ADEN","MS","1900"
"ADEN","NY",""
"ADERTON","MO",""
"ADGATEVILLE","GA","1900"
NA,NA,""
"ADIN","RI",""
"ADINE","AR","1900"
"ADIRONDAC","NY","1850"
NA,NA,""
"ADKINS","MO",""
"ADKINSON","AL",""
"ADKINSON HEAD","AL",""
"ADLAI","GA","1900"
"ADLAR","LA",""
"ADLENA","MS","1900"
"ADLER","AL","1900"
"ADLER","AR","1900"
"ADLER","AR",""
"ADMIRE","PA",""
"ADNA","FL",""
"ADNER","LA",""
"ADOLPH","MO",""
"ADOLPHUS","TN","1900"
"ADOLPHUS","GA","1900"
NA,NA,""
"ADONIS","MO","1900"
"ADOX","MO",""
NA,NA,""
"ADRIAN","AR",""
"ADRIAN","FL",""
NA,NA,""
"ADRIAN","NY","1900"
NA,NA,""
"ADRIAN","SC","1900"
"ADRIANCE","NY","1850"
"ADRIS","GA",""
NA,NA,""
"ADVANCE","AR","1950"
"ADVANCE","AR",""
"ADVANCE","MS","1900"
"ADVANCE","PA","1900"
"ADVANCE","SC","1900"
"ADVILLE","AL","1900"
"AERIAL","GA","1900"
"AERIAL","SC",""
"AERIEL","SC",""
"AETNA","TN",""
"AETNA","AL","1900"
"AFFONEE","AL","1900"
"AFFTON","MO","1900"
"AFRICA","MS",""
"AFRO","AL","1900"
"AFTON","LA","1900"
NA,NA,""
"AFTON","TN",""
"AFTON","TN",""
"AFTON","AL","1900"
"AFTON","AR","1900"
"AFTON","GA",""
"AFTON","GA",""
"AFTON","GA","1900"
"AFTON","NJ","1900"
NA,NA,""
"AGATE","GA","1900"
"AGATHA","MS",""
NA,NA,""
"AGEE","MO",""
"AGEE","TN","1900"
NA,NA,""
"AGENCY","TN",""
"AGENCY","MS","1900"
"AGERATUM","LA",""
"AGNA","PA",""
"AGNES","MO","1900"
"AGNES","FL",""
"AGNESS","GA","1900"
"AGNESS","MS","1900"
"AGNEW","AL","1900"
"AGNEW","PA","1900"
"AGNEW'S MILLS","PA","1850"
"AGNOS","AR","1900"
"AGREEABLE","TN","1900"
"AGRICOLA","AL","1900"
"AGRICOLA","GA","1900"
"AGRICOLA","MS","1950"
"AGRICULTURAL COLLEGE","MS","1900"
"AGRICULTURAL COLLEGE","PA",""
"AGRICULTURAL SCHOOL","CT",""
"AGUIILLA","AL","1900"
"AHERN","FL",""
